Package,LibPath,Version,Priority,Built
arsenal,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.3
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.2
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.3
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.2
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.3
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.3
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.3
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.1
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.4,NA,3.4.2
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.12,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
